ItemID,HSN,ItemName,ItemDescription,Category,UnitOfMeasure,StandardUnitPrice,CreatedAt,UpdatedAt
501,"OFF-PEN-B10","Blue Ballpoint Pen (Box of 10)","Standard blue ballpoint pens, medium point, pack of 10.","Office Supplies","Box",5.50,"2022-03-15 10:00:00","2024-11-01 14:30:00"
502,"OFF-PAP-A4R","A4 Printer Paper (Ream, 500 Sheets)","80gsm white A4 multipurpose paper ream.","Office Supplies","Ream",8.00,"2022-03-15 10:05:00","2023-12-20 09:00:00"
503,"HW-KB-US101","USB Keyboard - Standard 101 Key","Wired USB keyboard, standard US layout, black.","Hardware","Each",25.00,"2022-05-20 11:00:00","2024-08-15 10:00:00"
504,"HW-MSE-OPT","Optical USB Mouse","Standard 3-button optical USB mouse, wired.","Hardware","Each",15.00,"2022-05-20 11:05:00","2024-08-15 10:05:00"
505,"HW-MON-24FHD","24-inch FHD Monitor","24-inch LED Monitor, Full HD 1920x1080 resolution, HDMI/VGA ports.","Hardware","Each",180.00,"2023-01-10 14:30:00","2024-10-01 16:00:00"
506,"SW-OS-WINPRO","Windows Pro License","Latest Windows Professional Edition Digital License Key.","Software","License",199.00,"2022-08-01 09:00:00","2025-01-15 11:30:00"
507,"SW-OFF-365B","Office 365 Business Standard License","1 Year Subscription per user, includes standard Office apps and services.","Software","License",150.00,"2022-08-01 09:05:00","2025-02-01 10:00:00"
508,"SRV-CONS-IT","IT Consulting Services","Hourly rate for senior IT infrastructure consulting.","Consulting Services","Hour",120.00,"2022-02-01 10:00:00","2024-09-01 09:00:00"
509,"SRV-DES-GFX","Graphic Design Services","Hourly rate for standard graphic design work (logos, brochures).","Creative Services","Hour",85.00,"2023-04-10 15:00:00","2025-03-10 11:00:00"
510,"RAW-STL-SHT","Steel Sheet (1m x 2m, 2mm thick)","Standard mild steel sheet, 2mm thickness.","Raw Materials","Each",95.00,"2022-06-30 16:00:00","2024-07-20 13:00:00"
511,"CMP-RES-1K","Resistor 1k Ohm 1/4W (Pack 100)","1k Ohm Carbon Film Resistors, 1/4 Watt, 5% tolerance. Pack of 100.","Electronic Components","Pack",8.50,"2022-09-15 11:30:00","2024-05-20 10:00:00"
512,"CMP-CAP-10U","Capacitor 10uF 50V (Pack 50)","10uF 50V Electrolytic Capacitors. Pack of 50.","Electronic Components","Pack",12.00,"2022-09-15 11:35:00","2024-05-20 10:05:00"
513,"OFF-STP-DESK","Desk Stapler - Standard","Standard size metal desk stapler, uses 26/6 staples.","Office Supplies","Each",14.99,"2023-03-01 14:00:00","2024-12-10 15:30:00"
514,"OFF-NBK-A5","A5 Spiral Notebook (Pack of 5)","A5 size ruled spiral notebooks, 100 pages each. Pack of 5.","Office Supplies","Pack",9.75,"2023-03-01 14:05:00","2024-12-10 15:35:00"
515,"HW-LAP-BUS14","Business Laptop 14-inch","14-inch Laptop, Core i5, 8GB RAM, 256GB SSD, Win Pro.","Hardware","Each",850.00,"2023-07-20 10:00:00","2025-01-20 11:00:00"
516,"HW-DOCK-USB3","USB 3.0 Docking Station","Universal USB 3.0 docking station with dual monitor support (HDMI/DVI).","Hardware","Each",130.00,"2023-07-20 10:05:00","2024-11-15 14:00:00"
517,"HW-WCAM-FHD","Full HD Webcam","USB Webcam with microphone, 1080p Full HD resolution.","Hardware","Each",45.00,"2022-11-10 09:30:00","2024-06-30 10:30:00"
518,"SW-AV-ENDP","Endpoint Antivirus Security","1 Year Business Endpoint Security Subscription per device.","Software","License",40.00,"2022-10-01 11:00:00","2024-10-01 11:00:00"
519,"SW-PROJ-MGR","Project Management Tool License","Cloud-based Project Management Tool, Standard Plan, per user/month.","Software","Seat/Month",25.00,"2023-05-15 15:00:00","2025-04-01 12:00:00"
520,"SRV-MAINT-HW","Hardware Maintenance Contract (Annual)","Annual maintenance contract for standard office hardware (PCs, Printers). Per device.","Services","Contract/Device",75.00,"2023-01-01 00:00:00","2025-01-01 00:00:00"
521,"SRV-TRAIN-SW","Software Training Session (Half-Day)","On-site or remote software training session for up to 10 users.","Services","Session",600.00,"2023-08-01 10:00:00","2024-12-01 10:00:00"
522,"RAW-ALU-COIL","Aluminum Coil (10 KG)","Standard grade Aluminum coil, specified width. Priced per KG.","Raw Materials","KG",5.50,"2022-10-25 14:20:00","2024-09-18 11:15:00"
523,"RAW-PLST-PEL","ABS Plastic Pellets (25 KG Bag)","Natural color ABS plastic pellets for injection molding.","Raw Materials","Bag",85.00,"2022-10-25 14:25:00","2024-11-30 10:00:00"
524,"CMP-MCU-ARM","ARM Cortex M0 Microcontroller","Basic ARM Cortex M0 MCU, common package type.","Electronic Components","Each",2.10,"2023-02-10 16:00:00","2024-08-22 15:00:00"
525,"CMP-PCB-PROTO","PCB Prototype Manufacturing (10x10cm)","Prototyping service for 2-layer PCB, up to 10x10cm size. Price per batch of 5.","Services","Batch",50.00,"2023-06-01 12:00:00","2024-11-01 12:00:00"