POLineID,PO_ID,LineNumber,ItemID,ItemDescription,QuantityOrdered,UnitOfMeasure,UnitPrice,LineTotal,LineExpectedDeliveryDate,QuantityReceived,ActualDeliveryDate,LineStatus,CreatedAt,UpdatedAt
12001,9001,1,502,"A4 Printer Paper (Ream, 500 Sheets)",10,"Ream",672.0000,6720.00,"",10,"2024-03-24","Fully Received","2024-03-10 11:00:00","2024-04-05 10:00:00"
12002,9001,2,513,"Desk Stapler - Standard",5,"Each",1258.0000,6290.00,"",5,"2024-03-24","Fully Received","2024-03-10 11:00:00","2024-04-05 10:00:00"
12003,9002,1,510,"Steel Sheet (1m x 2m, 2mm thick)",2,"Each",90.2500,180.50,"2024-05-10",0,"","Ordered","2024-04-15 09:30:00","2024-04-15 09:30:00"
12004,9003,1,511,"Resistor 1k Ohm 1/4W (Pack 100)",300,"Pack",4.9500,1485.00,"",300,"2024-06-14","Fully Received","2024-05-20 14:00:00","2024-06-25 16:00:00"
12005,9003,2,512,"Capacitor 10uF 50V (Pack 50)",25,"Pack",6.6000,165.00,"",25,"2024-06-14","Fully Received","2024-05-20 14:00:00","2024-06-25 16:00:00"
12006,9004,1,503,"USB Keyboard - Standard 101 Key",10,"Each",2075.0000,20750.00,"",10,"2024-06-18","Fully Received","2024-06-01 10:15:00","2024-06-28 09:00:00"
12007,9004,2,504,"Optical USB Mouse",10,"Each",1245.0000,12450.00,"",10,"2024-06-18","Fully Received","2024-06-01 10:15:00","2024-06-28 09:00:00"
12008,9004,3,517,"Full HD Webcam",5,"Each",4250.0000,21250.00,"",5,"2024-06-19","Fully Received","2024-06-01 10:15:00","2024-06-28 09:00:00"
12009,9005,1,511,"Resistor 1k Ohm 1/4W (Pack 100)",50,"Pack",9.0000,450.00,"",50,"2024-08-02","Fully Received","2024-07-11 16:00:00","2024-08-15 11:00:00"
12010,9006,1,515,"Business Laptop 14-inch",1,"Each",825.0000,825.00,"",1,"2024-08-20","Fully Received","2024-08-01 09:00:00","2024-09-10 14:30:00"
12011,9006,2,516,"USB 3.0 Docking Station",1,"Each",135.0000,135.00,"",1,"2024-08-20","Fully Received","2024-08-01 09:00:00","2024-09-10 14:30:00"
12012,9006,3,506,"Windows Pro License",1,"License",195.0000,195.00,"",1,"2024-08-20","Fully Received","2024-08-01 09:00:00","2024-09-10 14:30:00"
12013,9006,4,507,"Office 365 Business Standard License",1,"License",90.0000,90.00,"",1,"2024-08-20","Fully Received","2024-08-01 09:00:00","2024-09-10 14:30:00"
12014,9007,1,508,"IT Consulting Services",1,"Hour",9960.0000,9960.00,"2024-09-30",1,"2024-09-28","Fully Received","2024-09-15 11:45:00","2024-10-05 10:15:00"
12015,9008,1,524,"ARM Cortex M0 Microcontroller",50,"Each",1.9000,95.00,"",25,"2024-10-27","Partially Received","2024-10-02 14:20:00","2024-10-28 16:00:00"
12016,9009,1,509,"Graphic Design Services",10,"Hour",85.0000,850.00,"2024-11-28",10,"2024-11-27","Fully Received","2024-11-10 10:00:00","2024-12-05 13:00:00"
12017,9010,1,522,"Aluminum Coil (10 KG)",10,"KG",5.2910,52.91,"",10,"2025-01-04","Fully Received","2024-12-05 15:15:00","2025-01-10 10:00:00"
12018,9010,2,523,"ABS Plastic Pellets (25 KG Bag)",1,"Bag",86.8500,86.85,"",1,"2025-01-04","Fully Received","2024-12-05 15:15:00","2025-01-10 10:00:00"
12019,9011,1,515,"Business Laptop 14-inch",5,"Each",70550.0000,352750.00,"",5,"2025-02-04","Fully Received","2025-01-15 09:00:00","2025-02-10 14:00:00"
12020,9011,2,505,"24-inch FHD Monitor",5,"Each",14960.0000,74800.00,"",5,"2025-02-04","Fully Received","2025-01-15 09:00:00","2025-02-10 14:00:00"
12021,9011,3,516,"USB 3.0 Docking Station",5,"Each",10705.0000,53525.00,"",5,"2025-02-04","Fully Received","2025-01-15 09:00:00","2025-02-10 14:00:00"
12022,9011,4,503,"USB Keyboard - Standard 101 Key",5,"Each",2075.0000,10375.00,"",5,"2025-02-04","Fully Received","2025-01-15 09:00:00","2025-02-10 14:00:00"
12023,9011,5,504,"Optical USB Mouse",5,"Each",1245.0000,6245.00,"",5,"2025-02-04","Fully Received","2025-01-15 09:00:00","2025-02-10 14:00:00"
12024,9011,6,517,"Full HD Webcam",5,"Each",4250.0000,21250.00,"",5,"2025-02-04","Fully Received","2025-01-15 09:00:00","2025-02-10 14:00:00"
12025,9011,7,506,"Windows Pro License",5,"License",16517.0000,82585.00,"",5,"2025-02-04","Fully Received","2025-01-15 09:00:00","2025-02-10 14:00:00"
12026,9011,8,507,"Office 365 Business Standard License",5,"License",12450.0000,62250.00,"",5,"2025-02-04","Fully Received","2025-01-15 09:00:00","2025-02-10 14:00:00"
12027,9012,1,525,"PCB Prototype Manufacturing (10x10cm)",10,"Batch",48.3000,483.00,"",0,"","Ordered","2025-01-20 11:30:00","2025-01-20 11:30:00"
12028,9013,1,523,"ABS Plastic Pellets (25 KG Bag)",100,"Bag",77.4000,7740.00,"",50,"2025-02-27","Partially Received","2025-02-01 10:45:00","2025-02-28 15:00:00"
12029,9013,2,522,"Aluminum Coil (10 KG)",10,"KG",45.0000,450.00,"",0,"","Ordered","2025-02-01 10:45:00","2025-02-01 10:45:00"
12030,9014,1,501,"Blue Ballpoint Pen (Box of 10)",20,"Box",478.5000,9570.00,"",20,"2025-02-27","Fully Received","2025-02-10 14:00:00","2025-03-05 11:30:00"
12031,9014,2,514,"A5 Spiral Notebook (Pack of 5)",15,"Pack",807.0000,12105.00,"",15,"2025-02-27","Fully Received","2025-02-10 14:00:00","2025-03-05 11:30:00"
12032,9015,1,518,"Endpoint Antivirus Security",5,"License",41.0000,205.00,"",0,"","Ordered","2025-03-01 09:15:00","2025-03-01 09:15:00"
12033,9015,2,504,"Optical USB Mouse",3,"Each",14.0000,42.00,"",0,"","Ordered","2025-03-01 09:15:00","2025-03-01 09:15:00"
12034,9016,1,520,"Hardware Maintenance Contract (Annual)",50,"Contract/Device",70.0000,3500.00,"2025-04-10",0,"","Ordered","2025-03-15 10:00:00","2025-03-16 11:00:00"
12035,9016,2,525,"PCB Prototype Manufacturing (10x10cm)",30,"Batch",48.0000,1440.00,"2025-04-10",0,"","Ordered","2025-03-15 10:00:00","2025-03-16 11:00:00"
12036,9017,1,521,"Software Training Session (Half-Day)",1,"Session",48000.0000,48000.00,"2025-04-10",0,"","Ordered","2025-04-01 11:00:00","2025-04-01 11:00:00"
12037,9018,1,512,"Capacitor 10uF 50V (Pack 50)",20,"Pack",10.8000,216.00,"",0,"","Ordered","2025-04-05 14:30:00","2025-04-05 14:30:00"
12038,9018,2,524,"ARM Cortex M0 Microcontroller",30,"Each",2.4000,72.00,"",0,"","Ordered","2025-04-05 14:30:00","2025-04-05 14:30:00"
12039,9019,1,509,"Graphic Design Services",2,"Hour",85.0000,170.00,"",2,"2024-08-14","Fully Received","2024-07-25 10:30:00","2024-08-20 16:00:00"
12040,9020,1,524,"ARM Cortex M0 Microcontroller",500,"Each",2.1800,1090.00,"",500,"2024-09-08","Fully Received","2024-08-18 13:00:00","2024-09-20 10:00:00"
12041,9020,2,511,"Resistor 1k Ohm 1/4W (Pack 100)",1,"Pack",8.3300,8.33,"",1,"2024-09-08","Fully Received","2024-08-18 13:00:00","2024-09-20 10:00:00"
12042,9021,1,515,"Business Laptop 14-inch",1,"Each",72250.0000,72250.00,"",1,"2024-03-04","Fully Received","2024-02-12 10:00:00","2024-03-15 11:00:00"
12043,9022,1,524,"ARM Cortex M0 Microcontroller",1,"Each",2.0800,2.08,"",1,"2024-04-14","Fully Received","2024-03-20 14:00:00","2024-04-20 09:30:00"
12044,9023,1,510,"Steel Sheet (1m x 2m, 2mm thick)",10,"Each",90.2500,902.50,"",10,"2024-05-18","Fully Received","2024-04-25 11:15:00","2024-05-25 10:00:00"
12045,9024,1,501,"Blue Ballpoint Pen (Box of 10)",5,"Box",456.5000,2282.50,"",5,"2024-05-24","Fully Received","2024-05-10 09:00:00","2024-06-01 14:00:00"
12046,9024,2,502,"A4 Printer Paper (Ream, 500 Sheets)",3,"Ream",640.0000,1920.00,"",3,"2024-05-24","Fully Received","2024-05-10 09:00:00","2024-06-01 14:00:00"
12047,9025,1,523,"ABS Plastic Pellets (25 KG Bag)",10,"Bag",720.0000,7200.00,"",10,"2024-07-09","Fully Received","2024-06-15 15:30:00","2024-07-18 10:00:00"
12048,9026,1,525,"PCB Prototype Manufacturing (10x10cm)",20,"Batch",48.3000,966.00,"",20,"2024-07-24","Fully Received","2024-07-01 10:00:00","2024-07-30 11:00:00"
12049,9026,2,520,"Hardware Maintenance Contract (Annual)",1,"Contract/Device",72.4500,72.45,"",1,"2024-07-24","Fully Received","2024-07-01 10:00:00","2024-07-30 11:00:00"
12050,9027,1,510,"Steel Sheet (1m x 2m, 2mm thick)",50,"Each",92.1500,4607.50,"",50,"2024-08-30","Fully Received","2024-08-05 11:30:00","2024-09-10 09:00:00"
12051,9027,2,522,"Aluminum Coil (10 KG)",400,"KG",4.5000,1800.00,"",400,"2024-08-30","Fully Received","2024-08-05 11:30:00","2024-09-10 09:00:00"
12052,9028,1,513,"Desk Stapler - Standard",5,"Each",14.5000,72.50,"",5,"2024-09-20","Fully Received","2024-09-02 16:00:00","2024-10-05 14:00:00"
12053,9028,2,514,"A5 Spiral Notebook (Pack of 5)",10,"Pack",9.5000,95.00,"",10,"2024-09-20","Fully Received","2024-09-02 16:00:00","2024-10-05 14:00:00"
12054,9029,1,505,"24-inch FHD Monitor",2,"Each",14960.0000,29920.00,"",2,"2024-10-28","Fully Received","2024-10-10 09:45:00","2024-11-05 10:30:00"
12055,9029,2,503,"USB Keyboard - Standard 101 Key",2,"Each",2075.0000,4150.00,"",2,"2024-10-28","Fully Received","2024-10-10 09:45:00","2024-11-05 10:30:00"
12056,9029,3,504,"Optical USB Mouse",2,"Each",1245.0000,2490.00,"",2,"2024-10-28","Fully Received","2024-10-10 09:45:00","2024-11-05 10:30:00"
12057,9030,1,506,"Windows Pro License",1,"License",16517.0000,16517.00,"",1,"2024-11-14","Fully Received","2024-11-01 13:00:00","2024-11-20 15:00:00"
12058,9030,2,518,"Endpoint Antivirus Security",10,"License",3320.0000,33200.00,"",10,"2024-11-14","Fully Received","2024-11-01 13:00:00","2024-11-20 15:00:00"
12059,9031,1,515,"Business Laptop 14-inch",1,"Each",855.0000,855.00,"",1,"2024-12-13","Fully Received","2024-11-20 10:00:00","2024-12-20 11:00:00"
12060,9031,2,517,"Full HD Webcam",10,"Each",40.5000,405.00,"",10,"2024-12-13","Fully Received","2024-11-20 10:00:00","2024-12-20 11:00:00"
12061,9032,1,509,"Graphic Design Services",15,"Hour",85.0000,1275.00,"2025-01-05",10,"2025-01-04","Partially Received","2024-12-10 14:20:00","2025-01-10 16:00:00"
12062,9033,1,524,"ARM Cortex M0 Microcontroller",200,"Each",2.2000,440.00,"",0,"","Ordered","2025-01-05 09:00:00","2025-01-05 09:00:00"
12063,9034,1,511,"Resistor 1k Ohm 1/4W (Pack 100)",10,"Pack",8.3000,83.00,"",0,"","Ordered","2025-01-25 11:00:00","2025-01-25 11:00:00"
12064,9034,2,512,"Capacitor 10uF 50V (Pack 50)",10,"Pack",11.4000,114.00,"",0,"","Ordered","2025-01-25 11:00:00","2025-01-25 11:00:00"
12065,9035,1,520,"Hardware Maintenance Contract (Annual)",1,"Contract/Device",50.8400,50.84,"2025-03-10",0,"","Ordered","2025-02-15 10:30:00","2025-02-16 09:00:00"
12066,9036,1,501,"Blue Ballpoint Pen (Box of 10)",10,"Box",456.5000,4565.00,"",0,"","Ordered","2025-03-05 14:00:00","2025-03-05 14:00:00"
12067,9036,2,502,"A4 Printer Paper (Ream, 500 Sheets)",5,"Ream",664.0000,3320.00,"",0,"","Ordered","2025-03-05 14:00:00","2025-03-05 14:00:00"
12068,9036,3,513,"Desk Stapler - Standard",2,"Each",1242.5000,2485.00,"",0,"","Ordered","2025-03-05 14:00:00","2025-03-05 14:00:00"
12069,9036,4,514,"A5 Spiral Notebook (Pack of 5)",1,"Pack",805.0000,805.00,"",0,"","Ordered","2025-03-05 14:00:00","2025-03-05 14:00:00"
12070,9037,1,523,"ABS Plastic Pellets (25 KG Bag)",1,"Bag",78.2000,78.20,"",0,"","Ordered","2025-03-20 09:30:00","2025-03-20 09:30:00"
12071,9038,1,521,"Software Training Session (Half-Day)",1,"Session",579.6000,579.60,"2025-04-25",0,"","Ordered","2025-04-01 10:00:00","2025-04-01 10:00:00"
12072,9039,1,515,"Business Laptop 14-inch",1,"Each",850.0000,850.00,"",0,"","Ordered","2025-04-10 15:00:00","2025-04-10 15:00:00"
12073,9040,1,503,"USB Keyboard - Standard 101 Key",4,"Each",2075.0000,8300.00,"",0,"","Ordered","2025-04-15 11:45:00","2025-04-16 09:00:00"
12074,9040,2,504,"Optical USB Mouse",4,"Each",1245.0000,4980.00,"",0,"","Ordered","2025-04-15 11:45:00","2025-04-16 09:00:00"
12075,9040,3,517,"Full HD Webcam",4,"Each",4100.0000,16400.00,"",0,"","Ordered","2025-04-15 11:45:00","2025-04-16 09:00:00"